image_name,qtd_exudado,tissue_type
fusc_0002.png,medium,granulação
fusc_0003.png,high,esfacelo
fusc_0006.png,medium,granulação
fusc_0008.png,medium,granulação
fusc_0010.png,high,esfacelo
fusc_0011.png,medium,granulação
fusc_0016.png,medium,granulação
fusc_0017.png,medium,granulação
fusc_0018.png,medium,granulação
fusc_0019.png,high,esfacelo
fusc_0020.png,medium,epitelial
fusc_0029.png,low,necrotic
fusc_0031.png,high,esfacelo
fusc_0032.png,high,esfacelo
fusc_0033.png,high,esfacelo
fusc_0034.png,medium,granulação
fusc_0036.png,high,esfacelo
fusc_0039.png,high,esfacelo
fusc_0041.png,high,esfacelo
fusc_0042.png,medium,granulação
fusc_0043.png,medium,granulação
fusc_0044.png,low,necrotic
fusc_0045.png,medium,granulação
fusc_0048.png,high,esfacelo
fusc_0051.png,high,esfacelo
fusc_0054.png,medium,granulação
fusc_0057.png,high,esfacelo
fusc_0059.png,high,esfacelo
fusc_0060.png,medium,granulação
fusc_0061.png,high,esfacelo
fusc_0062.png,medium,granulação
fusc_0063.png,high,esfacelo
fusc_0064.png,medium,granulação
fusc_0072.png,medium,granulação
fusc_0075.png,medium,granulação
fusc_0076.png,high,esfacelo
fusc_0077.png,medium,epitelial
fusc_0078.png,medium,granulação
fusc_0080.png,medium,granulação
fusc_0081.png,medium,granulação
fusc_0083.png,medium,granulação
fusc_0088.png,medium,granulação
fusc_0089.png,medium,granulação
fusc_0094.png,high,esfacelo
fusc_0096.png,medium,granulação
fusc_0098.png,medium,granulação
fusc_0103.png,medium,granulação
fusc_0104.png,medium,granulação
fusc_0106.png,medium,granulação
fusc_0108.png,medium,granulação
fusc_0109.png,high,esfacelo
fusc_0114.png,medium,epitelial
fusc_0115.png,medium,granulação
fusc_0116.png,high,esfacelo
fusc_0117.png,high,esfacelo
fusc_0118.png,high,esfacelo
fusc_0119.png,medium,granulação
fusc_0123.png,high,esfacelo
fusc_0124.png,high,esfacelo
fusc_0126.png,high,esfacelo
fusc_0127.png,low,granulação
fusc_0133.png,high,esfacelo
fusc_0137.png,medium,granulação
fusc_0138.png,medium,granulação
fusc_0140.png,high,esfacelo
fusc_0141.png,medium,granulação
fusc_0143.png,medium,granulação
fusc_0145.png,medium,epitelial
fusc_0146.png,medium,granulação
fusc_0148.png,high,esfacelo
fusc_0149.png,medium,granulação
fusc_0150.png,high,esfacelo
fusc_0151.png,medium,granulação
fusc_0153.png,high,esfacelo
fusc_0154.png,medium,granulação
fusc_0158.png,low,granulação
fusc_0159.png,medium,granulação
fusc_0162.png,medium,epitelial
fusc_0163.png,medium,granulação
fusc_0164.png,medium,granulação
fusc_0165.png,high,esfacelo
fusc_0167.png,medium,granulação
fusc_0169.png,medium,granulação
fusc_0170.png,medium,epitelial
fusc_0173.png,high,esfacelo
fusc_0174.png,high,esfacelo
fusc_0175.png,medium,granulação
fusc_0180.png,medium,necrotic
fusc_0182.png,medium,granulação
fusc_0183.png,medium,necrotic
fusc_0184.png,medium,granulação
fusc_0185.png,high,esfacelo
fusc_0186.png,medium,granulação
fusc_0189.png,medium,granulação
fusc_0191.png,medium,granulação
fusc_0192.png,medium,granulação
fusc_0193.png,medium,epitelial
fusc_0195.png,medium,granulação
fusc_0198.png,medium,granulação
fusc_0199.png,medium,epitelial
fusc_0200.png,medium,epitelial
fusc_0204.png,high,esfacelo
fusc_0207.png,high,esfacelo
fusc_0212.png,medium,granulação
fusc_0213.png,medium,necrotic
fusc_0214.png,medium,granulação
fusc_0219.png,high,esfacelo
fusc_0220.png,medium,granulação
fusc_0221.png,medium,epitelial
fusc_0222.png,high,esfacelo
fusc_0226.png,high,esfacelo
fusc_0228.png,medium,granulação
fusc_0235.png,high,esfacelo
fusc_0240.png,medium,granulação
fusc_0242.png,medium,granulação
fusc_0244.png,medium,epitelial
fusc_0245.png,high,esfacelo
fusc_0248.png,medium,granulação
fusc_0249.png,medium,granulação
fusc_0254.png,medium,granulação
fusc_0255.png,medium,granulação
fusc_0256.png,medium,epitelial
fusc_0257.png,medium,granulação
fusc_0260.png,medium,granulação
fusc_0261.png,medium,granulação
fusc_0265.png,high,esfacelo
fusc_0268.png,high,esfacelo
fusc_0269.png,high,esfacelo
fusc_0274.png,medium,granulação
fusc_0278.png,medium,granulação
fusc_0283.png,medium,granulação
fusc_0287.png,low,necrotic
fusc_0289.png,medium,granulação
fusc_0293.png,medium,granulação
fusc_0294.png,high,esfacelo
fusc_0299.png,medium,granulação
fusc_0300.png,medium,granulação
fusc_0309.png,high,esfacelo
fusc_0310.png,medium,granulação
fusc_0312.png,high,esfacelo
fusc_0313.png,medium,granulação
fusc_0318.png,medium,epitelial
fusc_0320.png,medium,granulação
fusc_0321.png,high,esfacelo
fusc_0324.png,medium,granulação
fusc_0327.png,medium,epitelial
fusc_0328.png,medium,granulação
fusc_0337.png,medium,granulação
fusc_0338.png,medium,necrotic
fusc_0340.png,medium,granulação
fusc_0341.png,high,esfacelo
fusc_0342.png,medium,granulação
fusc_0343.png,medium,granulação
fusc_0345.png,medium,granulação
fusc_0346.png,high,esfacelo
fusc_0350.png,medium,granulação
fusc_0354.png,medium,granulação
fusc_0358.png,medium,granulação
fusc_0362.png,high,esfacelo
fusc_0364.png,medium,epitelial
fusc_0365.png,medium,necrotic
fusc_0369.png,medium,granulação
fusc_0371.png,medium,epitelial
fusc_0372.png,medium,epitelial
fusc_0374.png,medium,granulação
fusc_0376.png,medium,granulação
fusc_0377.png,medium,granulação
fusc_0378.png,high,esfacelo
fusc_0380.png,medium,granulação
fusc_0381.png,high,esfacelo
fusc_0383.png,medium,necrotic
fusc_0384.png,high,esfacelo
fusc_0387.png,medium,epitelial
fusc_0388.png,high,esfacelo
fusc_0389.png,low,granulação
fusc_0390.png,medium,granulação
fusc_0394.png,medium,granulação
fusc_0395.png,high,esfacelo
fusc_0398.png,medium,granulação
fusc_0399.png,medium,epitelial
fusc_0400.png,medium,granulação
fusc_0401.png,medium,granulação
fusc_0402.png,high,esfacelo
fusc_0404.png,high,esfacelo
fusc_0405.png,medium,granulação
fusc_0410.png,medium,granulação
fusc_0411.png,high,esfacelo
fusc_0413.png,high,esfacelo
fusc_0414.png,medium,granulação
fusc_0415.png,medium,granulação
fusc_0416.png,medium,granulação
fusc_0419.png,high,esfacelo
fusc_0420.png,low,necrotic
fusc_0421.png,medium,granulação
fusc_0423.png,medium,granulação
fusc_0424.png,medium,granulação
fusc_0426.png,high,esfacelo
